approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.8000295,0.995099,527.7555555555556,329.4744904444445,0.0,199,1,1.8431348,0.1354463,2048,481.5409960746765,96256,0.058611844
0.3855609,0.8556272,758.71,1016.1303210799998,0.0,200,2,1.6214501,0.075422265,4096,962.9894328117371,192512,0.15720975
0.07365282,0.7907481,1571.57,1747.16143791,0.0,200,3,1.5682311,0.031256888,6144,1444.0875360965729,288768,0.19507974
0.060602862,0.7521843,956.65,1488.1330335200003,0.0,201,4,1.5512856,0.020582082,8192,1920.8982102870941,385024,0.16116527
0.07722418,0.78328365,1573.36,1774.91190608,0.0,200,5,1.5371741,0.028859181,10240,2400.904141664505,481280,0.1897606
0.063769095,0.76192135,938.95,1438.3152139000001,0.0,202,6,1.5235996,0.020914355,12288,2876.788869380951,577536,0.179919
0.07298571,0.78554326,1380.17,1672.2616100899997,0.0,200,7,1.5275363,0.023411924,14336,3355.9541301727295,673792,0.1829166
0.06597082,0.7727804,1319.44,1603.1268711300002,0.0,201,8,1.5082375,0.020835172,16384,3832.561712026596,770048,0.16311413
0.06304016,0.7952803,1282.94,1425.4249861199999,0.0,201,9,1.4983377,0.019552264,18432,4310.362558841705,866304,0.17086568
0.06530969,0.7935401,996.32,1292.3895846100002,0.0,200,10,1.4857178,0.018400563,20480,4790.177736520767,962560,0.12512822
0.049885552,0.77217263,1435.96,1583.7393022799997,0.0,200,11,1.4931196,0.014025638,22528,5269.086673259735,1058816,0.12865287
0.07077803,0.8120299,1399.44,1506.0450224399997,0.0,200,12,1.5031374,0.021204103,24576,5748.945970058441,1155072,0.23280065
0.06738355,0.7910156,1019.03,1296.56683665,0.0,200,13,1.5003312,0.01902731,26624,6228.367912769318,1251328,0.119177416
0.048128087,0.7988333,1317.94,1609.24470022,0.0,201,14,1.5184289,0.015127437,28672,6706.831053733826,1347584,0.1871384
0.06471443,0.80860674,1136.34,1598.4010077399998,0.0,200,15,1.5121491,0.020518834,30720,7186.0158903598785,1443840,0.18382229
0.040498924,0.80506927,1292.84,1538.1422242500003,0.0,200,16,1.5224099,0.0152373845,32768,7665.284870624542,1540096,0.15148565
0.073311724,0.79345965,1245.61,1690.2927766199998,0.0,200,17,1.5077375,0.015550634,34816,8144.774246931076,1636352,0.1831862
0.065044925,0.7938648,1373.25,1624.7113066399997,0.0,200,18,1.5061357,0.019687813,36864,8624.260996103287,1732608,0.17978173
0.05728259,0.79288304,1062.25,1501.9721018300002,0.0,200,19,1.4954165,0.014874205,38912,9104.486877918243,1828864,0.18888193
0.05481045,0.8016124,1355.91,1613.2272505499998,0.0,200,20,1.4815243,0.015758783,40960,9583.610006332397,1925120,0.1482219
0.03844895,0.80201495,1586.55,1768.1487486500002,0.0,200,21,1.4762198,0.011998202,43008,10062.711751461029,2021376,0.17487869
0.056417968,0.77444005,1159.8,1323.6568197600002,0.0,200,22,1.477233,0.01496448,45056,10542.516829490662,2117632,0.14634293
0.06656327,0.79360765,1253.98,1540.19346284,0.0,200,23,1.493586,0.017846895,47104,11021.546003341675,2213888,0.20961599
0.059954308,0.79503095,1347.84,1635.3791163399997,0.0,200,24,1.5145954,0.017477145,49152,11501.468561887741,2310144,0.14968544
0.08080968,0.81075984,1364.08,1459.7319371499998,0.0,200,25,1.5105287,0.021501232,51200,11982.743105649948,2406400,0.17526132
0.044116404,0.8001683,1204.87,1555.5339293299996,0.0,200,26,1.5073463,0.013125351,53248,12463.30460357666,2502656,0.15215898
0.031290337,0.7942232,1541.78,1795.8157558799999,0.0,200,27,1.5149705,0.010223577,55296,12942.880118370056,2598912,0.17435661
0.06578953,0.7965607,1150.94,1353.2042285600003,0.0,200,28,1.5161186,0.013108079,57344,13421.973472833633,2695168,0.13903251
0.09115903,0.80994433,1087.5,1254.0235616,0.0,200,29,1.4949867,0.020892348,59392,13901.67051768303,2791424,0.15439239
0.039810065,0.7934415,1348.54,1565.24741779,0.0,200,30,1.4820184,0.013362806,61440,14381.54853105545,2887680,0.14875305
0.0457756,0.79647243,1455.86,1561.77031949,0.0,200,31,1.5001253,0.010877354,63488,14861.881247282028,2983936,0.11246881
0.09541079,0.78957933,1537.64,1616.0052551099996,0.0,200,32,1.4984226,0.022033721,65536,15341.936461687088,3080192,0.5571236
0.047001433,0.77090776,1494.3,1799.37788556,0.0,199,33,1.4987738,0.010527999,67584,15823.692128658295,3176448,0.107683234
0.05259244,0.78616136,1675.11,1866.15273309,0.0,199,34,1.4916396,0.014382455,69632,16305.32410955429,3272704,0.17634231
0.04514157,0.79272723,1388.34,1718.80844097,0.0,199,35,1.488037,0.010214016,71680,16787.254464387894,3368960,0.1729753
