approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.71799827,0.99175376,486.0,392.90456635555563,0.0,106,1,1.8457942,0.13333158,2048,907.5758559703827,96256,0.062347595
0.1926558,0.85366887,683.8282828282828,883.2023566666666,0.0,130,2,1.6729462,0.054025266,4096,1645.901647567749,192512,0.15667576
0.070522584,0.7935713,1540.72,1609.4523865199997,0.0,134,3,1.5926338,0.025271608,6144,2360.3263001441956,288768,0.21628295
0.037377283,0.7756036,830.43,1663.9286570200002,0.0,135,4,1.568367,0.011498133,8192,3069.1980299949646,385024,0.23893172
0.0803773,0.8238006,1516.21,1724.41876177,0.0,134,5,1.5406858,0.022215178,10240,3783.73974943161,481280,0.2063925
0.026156088,0.79891646,1735.16,1676.1330571199996,0.0,133,6,1.5375254,0.008106227,12288,4503.371201038361,577536,0.137001
0.06669913,0.80835223,1695.82,1834.8402464,0.0,135,7,1.5221009,0.019908631,14336,5213.18346452713,673792,0.21049337
0.024372542,0.80559134,1618.48,1813.5038228299998,0.0,135,8,1.522295,0.009113529,16384,5926.102140665054,770048,0.14915647
0.041675184,0.8207956,1784.21,1946.27352082,0.0,134,9,1.5259966,0.011485794,18432,6642.385590314865,866304,0.12825146
0.06103678,0.812513,1648.23,1672.72008637,0.0,134,10,1.5191,0.01812517,20480,7359.554804801941,962560,0.15242931
0.0409582,0.826042,1600.91,1664.62681624,0.0,135,11,1.5135036,0.010846436,22528,8071.537403821945,1058816,0.1530226
0.031140797,0.8030902,1448.39,1602.5810901800003,0.0,135,12,1.5103929,0.010907102,24576,8782.742470026016,1155072,0.17377362
0.04280131,0.8372231,1136.65,1554.1946252299997,0.0,134,13,1.5190483,0.014525129,26624,9497.795533895493,1251328,0.14704712
0.0360744,0.821154,1730.11,1680.6655052799997,0.0,135,14,1.5140034,0.0105899265,28672,10206.327575206757,1347584,0.17981236
0.0444612,0.82452005,1714.92,1552.2885413600002,0.0,135,15,1.5236164,0.01502673,30720,10918.049264907837,1443840,0.12401952
0.06271549,0.8369167,1642.68,1593.12618825,0.0,135,16,1.512965,0.014763255,32768,11630.949414014816,1540096,0.1572635
0.042460162,0.802898,1346.44,1581.2155671799999,0.0,134,17,1.52309,0.01245256,34816,12345.95519065857,1636352,0.14644834
0.09222891,0.81948656,1650.09,1725.4904564499998,0.0,134,18,1.5115043,0.022506349,36864,13059.749550580978,1732608,0.18865545
0.02531556,0.81572837,1315.26,1630.12175711,0.0,134,19,1.5230184,0.00833125,38912,13774.965808153152,1828864,0.15649858
0.05742594,0.85141706,1827.94,1684.34160445,0.0,142,20,1.5314287,0.017988242,40960,14450.39018535614,1925120,0.12233099
0.046089385,0.8346181,1952.59,1861.3209503599996,0.0,146,21,1.5235668,0.013297776,43008,15109.388213634491,2021376,0.14966063
