approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.47556555,1.0,595.55,522.198265625,0.0,198,1,1.9332651,0.13758197,2048,486.04643726348877,96256,0.07010664
0.31213444,0.9346222,817.35,845.7402721899999,0.0,197,2,1.8258349,0.098391205,4096,973.4324243068695,192512,0.101023085
0.12571216,0.84804326,1466.71,1321.13522335,0.0,199,3,1.7698404,0.055108815,6144,1455.190731048584,288768,0.16492854
0.07662562,0.810456,1044.75,1394.86749534,0.0,201,4,1.7459118,0.027712353,8192,1933.490537405014,385024,0.09318121
0.063730106,0.7468859,1542.11,1573.2699884400001,0.0,201,5,1.7297014,0.029000802,10240,2411.438486099243,481280,0.15805165
0.05968621,0.7034912,1094.89,1755.1226620700002,0.0,201,6,1.7145358,0.022926483,12288,2889.070565700531,577536,0.16007358
0.046359535,0.65612274,1277.14,1536.63590585,0.0,202,7,1.7036263,0.016629934,14336,3364.657299518585,673792,0.15049094
0.03695062,0.6156603,1390.51,1461.0758319000001,0.0,201,8,1.6954939,0.012105176,16384,3842.2373328208923,770048,0.12244715
0.032178443,0.6005418,1651.44,1678.2032457699997,0.0,201,9,1.6915389,0.012622643,18432,4319.857511997223,866304,0.13696016
0.024409734,0.60568434,1735.1,1551.19666332,0.0,201,10,1.6896327,0.009675546,20480,4797.583218336105,962560,0.11469522
0.026575651,0.65734345,1445.47,1523.71506475,0.0,201,11,1.687764,0.010375219,22528,5274.910746574402,1058816,0.12921962
0.02385094,0.62051713,1463.93,1590.5839553400003,0.0,201,12,1.6870311,0.007914885,24576,5752.177100896835,1155072,0.13624151
0.023363633,0.6032845,1337.83,1708.00996502,0.0,201,13,1.6837302,0.009136125,26624,6230.091208696365,1251328,0.14972477
0.02042956,0.615759,1256.51,1414.7204102599999,0.0,201,14,1.6814432,0.007859008,28672,6707.4821264743805,1347584,0.13383026
0.022164926,0.5827922,1304.27,1480.6248328299998,0.0,201,15,1.6775513,0.00781063,30720,7184.451313495636,1443840,0.12737219
0.023966746,0.57987034,1468.01,1489.8802583899999,0.0,201,16,1.6784621,0.0067509026,32768,7662.501540660858,1540096,0.15371613
0.021761244,0.56500113,1271.42,1481.12675017,0.0,201,17,1.6757913,0.0070177577,34816,8140.035521268845,1636352,0.12788193
0.02456682,0.5788938,1429.54,1756.2286833300002,0.0,201,18,1.6732861,0.009011393,36864,8618.288647651672,1732608,0.19963895
0.02008595,0.57209164,1470.41,1669.3444119700005,0.0,201,19,1.6711676,0.0067601567,38912,9095.572350978851,1828864,0.1352163
0.02358674,0.5507786,1543.13,1716.1009247200002,0.0,201,20,1.6695849,0.007838841,40960,9573.225969076157,1925120,0.15227535
0.026935162,0.5611728,1608.63,1825.45209397,0.0,201,21,1.6684314,0.007927259,43008,10050.514081716537,2021376,0.17074153
0.019488726,0.58335584,1856.84,2102.2010872400006,0.0,202,22,1.670615,0.006036546,45056,10526.415569782257,2117632,0.152767
0.01814821,0.59982497,1714.84,1945.98183654,0.0,202,23,1.6738864,0.0061792675,47104,11001.589166641235,2213888,0.16289611
0.024907764,0.5872439,1317.48,1491.8257634200002,0.0,200,24,1.6767918,0.0077450112,49152,11480.482412815094,2310144,0.112588495
0.03141878,0.59117615,1624.61,1497.90993487,0.0,200,25,1.6717383,0.008961292,51200,11960.099462509155,2406400,0.1419396
0.025199912,0.57742894,1324.93,1440.8056268999999,0.0,201,26,1.6750044,0.0065177963,53248,12439.472734928131,2502656,0.132385
0.031755265,0.59103847,1503.62,1342.4076553999998,0.0,201,27,1.6695598,0.012100556,55296,12917.291739225388,2598912,0.14327675
0.017164629,0.56902164,1408.95,1538.6109604799997,0.0,201,28,1.6644744,0.005074087,57344,13395.02771806717,2695168,0.15011652
0.021459367,0.5861141,1487.87,1801.7938210800003,0.0,201,29,1.6577811,0.007507932,59392,13873.096786499023,2791424,0.14940026
0.017364928,0.57801074,1533.59,1643.6186043599996,0.0,201,30,1.6557751,0.005841558,61440,14351.508760690689,2887680,0.15644613
0.015717488,0.5833091,1766.68,1990.6310696700002,0.0,201,31,1.657439,0.0054627503,63488,14829.497609376907,2983936,0.15588139
0.020389285,0.59050083,1451.42,1666.2351923099998,0.0,201,32,1.6613429,0.006659858,65536,15307.971637010574,3080192,0.13294461
0.024135485,0.5749512,1318.77,1491.85241767,0.0,200,33,1.6573508,0.007133822,67584,15787.280738592148,3176448,0.124441676
0.016401423,0.6051519,1566.17,1632.34799282,0.0,200,34,1.6572669,0.006072525,69632,16266.384004354477,3272704,0.13311937
0.017564544,0.6011054,1595.79,1724.47165316,0.0,201,35,1.6584442,0.005113128,71680,16745.137181282043,3368960,0.12938502
0.022139432,0.6222651,1584.43,1709.09702186,0.0,201,36,1.6534042,0.00777927,73728,17223.514530658722,3465216,0.14159122
0.019009855,0.6121047,1513.56,1939.04382509,0.0,201,37,1.6513437,0.005541508,75776,17701.50104045868,3561472,0.16913107
0.01701912,0.6083621,1734.02,1867.5430641699998,0.0,201,38,1.6474868,0.0057250527,77824,18179.800211429596,3657728,0.12456232
0.01590372,0.61592007,1641.25,1772.8730516099997,0.0,201,39,1.6464156,0.005328456,79872,18658.554010391235,3753984,0.11843871
0.018566865,0.6077362,1291.64,1531.7258722699999,0.0,201,40,1.6475959,0.0058194343,81920,19137.37316417694,3850240,0.15436754
0.021415541,0.616707,1538.77,1569.61064513,0.0,201,41,1.6459377,0.007334785,83968,19616.182755470276,3946496,0.12058667
0.015424396,0.6188731,1706.53,1761.1015445199998,0.0,200,42,1.6444602,0.0045810454,86016,20096.037405252457,4042752,0.14383319
0.014466358,0.62382346,1668.67,1761.8031245600002,0.0,201,43,1.6420472,0.005169514,88064,20574.835067749023,4139008,0.14193362
0.016778551,0.6046584,1493.31,1521.7532653700002,0.0,200,44,1.6440395,0.0049469788,90112,21053.9714679718,4235264,0.13060707
0.016817175,0.6003028,1756.9,1629.8745705799997,0.0,200,45,1.641313,0.0059100124,92160,21534.240603208542,4331520,0.13501146
0.019020503,0.6282569,1593.96,1726.9949605400002,0.0,201,46,1.6382707,0.0055269417,94208,22012.98725938797,4427776,0.11140666
0.018683666,0.6216989,1589.82,1595.71223946,0.0,201,47,1.6398872,0.0069748047,96256,22491.56380200386,4524032,0.14545779
0.020014508,0.61561096,1168.98,1580.03737112,0.0,201,48,1.6466303,0.0062558525,98304,22969.77213549614,4620288,0.145042
0.023687761,0.62467533,1427.08,1395.20507122,0.0,201,49,1.6403484,0.007361364,100352,23448.04422354698,4716544,0.13203289
0.024994578,0.6389368,1410.04,1408.4473146200003,0.0,200,50,1.6408345,0.007702328,102400,23927.783636808395,4812800,0.13816029
0.018243808,0.62454027,1469.11,1486.5346033999997,0.0,201,51,1.64156,0.004751902,104448,24406.00622344017,4909056,0.12345227
0.020939507,0.6593901,1675.95,1560.1560948999997,0.0,202,52,1.6417322,0.007082653,106496,24881.522964715958,5005312,0.12484024
0.019370336,0.63819396,1670.2,1650.50899567,0.0,202,53,1.6449679,0.0050774994,108544,25357.1562769413,5101568,0.120763645
