approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.47257203,1.0,874.0,910.9155242758619,0.0,117,1,1.9351841,0.1352089,2048,821.9951136112213,96256,0.0858944
0.33809978,0.95310163,783.18,933.2152179400001,0.0,137,2,1.8567578,0.10127906,4096,1521.7892429828644,192512,0.0981555
0.13530146,0.8666265,1467.16,1153.21463921,0.0,132,3,1.7911257,0.06669215,6144,2248.7695145606995,288768,0.15587536
0.099209785,0.8451551,751.97,1149.2194654599998,0.0,132,4,1.752087,0.038258057,8192,2976.5282213687897,385024,0.1292181
0.09049929,0.80104876,1377.07,1320.71104147,0.0,138,5,1.7069881,0.039756645,10240,3669.9296004772186,481280,0.1451288
0.06389767,0.79397386,900.39,1318.77050284,0.0,137,6,1.6906791,0.023174277,12288,4368.150760650635,577536,0.12810951
0.055407032,0.74798197,1359.56,1311.6788139600003,0.0,139,7,1.6783904,0.024394028,14336,5059.082699537277,673792,0.15181138
0.045441654,0.7089532,893.14,1467.5009618900003,0.0,138,8,1.6643512,0.019228369,16384,5755.686186075211,770048,0.18028429
0.03662234,0.72521454,1381.62,1642.4567184800005,0.0,138,9,1.6574128,0.01646862,18432,6451.139363765717,866304,0.15987544
0.033742633,0.74871176,1402.93,1815.8567250100002,0.0,138,10,1.6530877,0.011813623,20480,7148.392646789551,962560,0.16868044
0.02622744,0.7192928,1480.48,1473.8221334899997,0.0,138,11,1.6490452,0.0103461975,22528,7845.6218276023865,1058816,0.12883821
0.019447507,0.7387202,1367.63,1697.2655943599998,0.0,137,12,1.651054,0.00824966,24576,8543.976072311401,1155072,0.1987693
0.022245998,0.7472054,1146.82,1602.2449553800004,0.0,137,13,1.6509916,0.0076109734,26624,9243.978900194168,1251328,0.17390586
0.022770284,0.75804365,1457.04,1562.1621295799996,0.0,138,14,1.6477369,0.009067356,28672,9940.475542068481,1347584,0.51237214
0.023242684,0.7384007,1076.56,1555.92122236,0.0,137,15,1.6472304,0.007683999,30720,10639.017556667328,1443840,0.1804196
0.025011716,0.7010498,1431.72,1568.6868291,0.0,138,16,1.638731,0.008300949,32768,11333.920534133911,1540096,0.15212902
0.017916786,0.65901864,899.49,1526.0305198600001,0.0,138,17,1.6358863,0.0054024267,34816,12026.421381235123,1636352,0.17290512
0.02046017,0.6680155,1358.45,1476.0595094399998,0.0,138,18,1.6340448,0.007339001,36864,12720.939189910889,1732608,0.18202525
0.0178552,0.6392043,1083.4,1447.6742133900002,0.0,137,19,1.6333928,0.0050680316,38912,13419.041021823883,1828864,0.15176727
0.019915752,0.64893615,1437.65,1652.2815301500002,0.0,137,20,1.6340448,0.0054384083,40960,14118.809326648712,1925120,0.16082104
0.02419302,0.60226375,1247.64,1385.9460049000004,0.0,140,21,1.6284987,0.0059827953,43008,14801.640945672989,2021376,0.152351
0.018580768,0.63435006,1342.17,1347.24568182,0.0,140,22,1.6296684,0.005302843,45056,15488.062343120575,2117632,0.123459935
0.020348476,0.64315474,1461.83,1700.5874739399997,0.0,140,23,1.6326787,0.005927712,47104,16174.449065446854,2213888,0.17231722
0.017510138,0.6634184,1019.34,1512.9166853,0.0,140,24,1.6359607,0.004534986,49152,16857.420814990997,2310144,0.17048639
